State Code,Region,State,Year,PM10,PM2.5,NO2,SO2,UV_Irradiance,Population,Violent_crime,Property_crime,Total_crime,Violent_crime_per_100K,Property_crime_per_100K,Total_crime_per_100K
TN,South,TN,2010,,-0.12310422153681949,-1.2524517937552095,,-0.30538387866800476,0.02004018699304542,0.3614534717152523,0.22650834726798283,0.24632357273600006,612.0,3662.7,4274.742207393043
TN,South,TN,2011,,-0.16911017912442747,-1.3417214994924658,,0.10106212378145818,0.026760019873066216,0.36248921705255416,0.2140997021939359,0.2357383719869325,608.2,3595.9,4204.125557344722
TN,South,TN,2012,,-0.6954724585826547,-1.3417214994924658,,0.22238928869174562,0.03430583739439279,0.429635107633641,0.1550892759667027,0.1940966307048445,638.5,3376.1,4014.584857366032
TN,South,TN,2013,,-0.6751757125881208,-1.4309912052297222,,-0.02329822025158644,0.04031544641469407,0.3243441959159209,0.10105378839675892,0.13265365613405528,579.7,3180.9,3760.542292476976
TN,South,TN,2014,,-0.6602914321921304,-1.5202609109669787,,0.38769755088201224,0.04789638730843619,0.393413613551997,0.07370119297139256,0.11865587601102101,610.7,3068.4,3679.110122684348
TN,South,TN,2015,,-0.9187366645225191,-1.609530616704235,,0.5985034999136367,0.055582551972039915,0.40557622308431374,0.0396659155227249,0.09092504919517537,612.1,2936.2,3548.26349533559
TN,South,TN,2016,,-0.7671876277633385,-1.609530616704235,,1.4735756768290849,0.06276894031564732,0.46650764164158903,0.02724291966408963,0.08869963379736437,638.5,2875.4,3513.9690715137776
TN,South,TN,2017,,-0.9133241989239763,-1.6988003224414914,,1.3325328476208758,0.07251274921326224,0.5048598118456828,0.05732694775610241,0.1200746817386217,651.5,2940.6,3592.0722860566666
TN,South,TN,2018,,-1.1622976164569168,-1.6988003224414914,,1.0686462639410006,0.08065654214996362,0.47325478269601295,0.0353654637410872,0.09666645546313386,630.4,2848.6,3478.9846050382844
TN,South,TN,2019,,-1.0932886800755042,-1.7880700281787478,,1.6267512225283227,0.08907780972874788,0.41288562589327293,-0.020813074327381255,0.03964949292888324,595.2,2652.6,3247.830557546198
TX,South,TX,2000,0.5963358557513163,0.4248558773771282,0.8203907734638834,0.8020698035036796,1.2263715783243743,2.1412553835182395,2.57333202860937,3.511895649808713,3.3964321600162495,545.05,4410.44,4955.4954915206445
TX,South,TX,2001,0.10660133768285072,0.5742191107215135,0.9257290262338459,0.37953287322180473,1.1368927942030373,2.2105066734361367,2.8249293674019658,3.7845414226076257,3.6673620070902735,572.82,4579.85,5152.675603837709
TX,South,TX,2002,0.5826049814129483,0.6769518712169202,0.8525278675292957,0.3225616017231249,1.2885517503408965,2.277076440217491,2.939246059916174,3.9166643127175624,3.7975901724606893,578.6,4611.01,5189.612272199868
TX,South,TX,2003,0.5185275678338964,0.6864236860143692,0.6882716089727443,0.3858630144994358,1.0807789804320294,2.3266320063585963,2.82629063270242,3.9747754231105934,3.832051019447982,552.48,4595.35,5147.828906550618
TX,South,TX,2004,0.5505662746234223,0.364746283470242,0.6543491207925867,0.3526297727918726,1.1217268985892512,2.378298487181876,2.807144140324296,3.9474132604955017,3.805714179600654,541.0,4498.0,5038.620168106791
TX,South,TX,2005,0.8709533425186801,0.5250385338886058,0.5436546856783886,0.3146489251260861,0.619735753772937,2.435142592141364,2.7934427091479876,3.849784872941059,3.71937798966922,530.0,4332.0,4861.704093374059
TX,South,TX,2006,1.7863449650765593,0.10973588507738875,0.7364772500708626,0.49347541621916424,0.7304467917535743,2.5299486233971225,2.8019358209138634,3.7022922925370154,3.593025687175661,516.3,4081.5,4597.787890078788
TX,South,TX,2007,1.909922834121873,0.23906258711947737,0.7204087030381565,0.007637073160978479,0.4089298047413126,2.5879895572716705,2.8219405022857518,3.825144575802888,3.702054495829011,510.6,4121.2,4631.77041194961
TX,South,TX,2008,1.0860703738197817,0.11301459019958332,0.7257648853823915,-0.251898719221896,0.8502573671024831,2.6465153400329378,2.8672765553356525,3.7523286948016765,3.6454263605204003,508.5,3990.7,4499.230382784273
TX,South,TX,2009,0.5642971489617904,-0.3212316882065313,0.293699509614071,-0.26139393113834264,0.9078877704348697,2.7164711462625366,2.810517710851508,3.872994875215259,3.7418348301798448,490.9,4015.5,4506.494190894777
TX,South,TX,2010,-0.030707405700831154,-0.2443642681195433,0.40975012707250436,-0.25981139581893486,0.6864656944735951,2.785424765599212,2.5608438991139013,3.6629998443341543,3.525349067615093,448.4,3766.8,4215.171889672491
TX,South,TX,2011,0.3812188244502145,-0.05456367160143443,0.3972523682692884,-0.4243950690373431,1.6510166555103802,2.8470684793992853,2.313507912566205,3.377194402067739,3.243635469719334,408.5,3472.3,3880.757077371283
TX,South,TX,2012,1.4201883160534075,-0.07897180973332192,0.2597770214339136,-0.604804095449829,1.450826833408406,2.9035753999835836,2.3609154562907095,3.305249135331553,3.188049722292226,408.6,3363.1,3771.695998848232
TX,South,TX,2013,0.13864004447237666,-0.10957305754046377,0.18657586272936338,-0.7171641031277808,1.4371775273559986,2.960269937915535,2.3390464333116774,3.2348107009771425,3.1240835072146247,399.8,3258.2,3657.981473441305
TX,South,TX,2014,1.1455708292860438,-0.26585800169836893,-0.03481300749903247,-0.660192831629101,1.4371775273559986,3.0379635694356657,2.456677510905252,3.004150540288835,2.941069977733677,406.7,3015.4,3422.007230936505
TX,South,TX,2015,1.040300792691888,-0.48370974203969186,-0.08123325448240575,-0.7662226980294217,1.412912094373941,3.109679056623284,2.5607255282182098,2.8330126504780786,2.8076277830619616,412.2,2831.3,3243.519248564042
TX,South,TX,2016,-0.21378573021240702,-0.692453968152698,-0.20621084251456487,-0.8105336869728392,1.875471910594412,3.173449636970504,2.792643705602069,2.795475781589857,2.8075864184634893,433.8,2759.0,3192.8342809937567
TX,South,TX,2017,0.6741441436687362,-0.5999216235930059,-0.1990692660555842,-0.7029212852531108,1.8345239924371899,3.231949662592,2.886571011333391,2.5822996601250043,2.6363783453865426,438.9,2562.6,3001.5125458777084
TX,South,TX,2018,1.5254583526475636,-0.1460031144537286,-0.2008546601703293,-0.7060863558919264,1.6419171181421086,3.2793764596699524,2.7078013661150813,2.370936521113145,2.428620513099451,412.9,2379.2,2792.096565030309
TX,South,TX,2019,-0.3510944735960889,-0.5580270581427516,-0.18657150725236826,-0.8406018580415869,1.9513013886633417,3.3331174146765257,2.804776722410463,2.428631458753114,2.4920655342363007,418.9,2390.7,2809.633547606296
UT,West,UT,2000,1.5574970594370894,1.4248609396462426,,,0.48779246193299935,-0.5835355037660356,-0.6209657770775727,-0.4365361694719929,-0.46434504777759994,255.74,4220.33,4476.060701182938
UT,West,UT,2001,2.106732032971817,3.342903436129627,,,0.37253165526822635,-0.5781762625249623,-0.6327140884749687,-0.4521019871554735,-0.4794472626798452,234.12,4008.87,4242.993511731708
UT,West,UT,2002,2.289810357483393,2.1920779382395965,,,0.32703396842686855,-0.5713759385831559,-0.627564954512382,-0.42030064850772336,-0.4512283336020262,236.93,4215.47,4452.400770899245
UT,West,UT,2003,2.8848149121460143,0.34033814533835455,,,0.28153628158551075,-0.5662229008076389,-0.6170003520719025,-0.4120680817488819,-0.4426327700394774,248.57,4225.53,4474.100635900908
UT,West,UT,2004,2.5644278442507566,3.6649451392428856,,,0.3361335057951401,-0.5560896615183666,-0.622859711408639,-0.4197218335293272,-0.45007012484480113,233.0,4039.0,4271.849392822266
UT,West,UT,2005,1.0082620859023619,1.3017273472794084,,,0.20115703483244535,-0.5489366403785539,-0.623895456745941,-0.4303222797452439,-0.45938129596092114,227.0,3869.0,4096.153807218621
UT,West,UT,2006,1.6032666405649834,0.6008130522681967,,,0.2739533337786178,-0.5371588955233083,-0.6206402571144207,-0.45842589956406643,-0.4832279869802156,224.4,3516.4,3740.809540783895
UT,West,UT,2007,2.6101974253786504,3.6128501578569177,,,0.36646529702271197,-0.5232168191903392,-0.6061990078400398,-0.4444434517801655,-0.4691185224413061,234.8,3500.3,3735.034948380731
UT,West,UT,2008,5.585220198691758,0.7523620890273777,,,0.31035148325170403,-0.5112144310990191,-0.6085664257538728,-0.44572067160852724,-0.4705538740082957,224.8,3385.2,3609.9969824110863
UT,West,UT,2009,4.898676481773348,1.9600184757021006,,,0.2102565722007169,-0.5028391165991453,-0.6146625268819925,-0.45108786504456455,-0.4760470926854202,212.7,3275.4,3488.1123562256603
UT,West,UT,2010,2.427119100867075,1.898451679518683,,,-0.04604706367226533,-0.5041698533715395,-0.6146329341580696,-0.46490767060313104,-0.48799318872422726,213.5,3182.0,3395.4859683679824
UT,West,UT,2011,0.6878750180071043,0.922854755381456,,,0.47565974544197065,-0.49806087447677916,-0.6273873981688446,-0.4867112959876746,-0.5086299869020695,195.0,2973.1,3168.0854401960514
UT,West,UT,2012,0.5505662746234223,-0.27059390909709374,,,0.8077928593838826,-0.49255104177647424,-0.6142186360231489,-0.4746279353642966,-0.4963405646959421,208.0,3022.3,3230.373631593161
UT,West,UT,2013,3.7086673724481054,4.10064861992553,,,0.6076030372819082,-0.48581891571610797,-0.6103419891892474,-0.4779668845785158,-0.4986859374293229,209.2,2950.4,3159.6016646029198
UT,West,UT,2014,0.32171836898395245,0.6955312002426848,,,0.7334799708763314,-0.4794343646952707,-0.5986824559636201,-0.4785074307980098,-0.49752359221225056,219.5,2902.8,3122.331888152072
UT,West,UT,2015,0.5505662746234223,0.03724007181999247,,,0.9837172485037993,-0.47190903580785315,-0.5807196725424127,-0.4603058523451383,-0.47927353136626144,236.0,2980.0,3216.0081764560387
UT,West,UT,2016,0.23017920672816455,0.7807775334197239,,,1.465992729022192,-0.4648255296759463,-0.5708061100282373,-0.45416850013619375,-0.4725807393334395,243.3,2974.8,3218.024643261995
UT,West,UT,2017,1.2371099915418318,0.45399992290773983,,,1.5797369461255863,-0.4564087988660991,-0.5706877391325457,-0.4748479807279844,-0.49044610941363603,238.9,2780.2,3019.1180505204507
UT,West,UT,2018,1.3744187349255135,0.4966230894962597,,,1.3719641762167192,-0.4488401511527024,-0.5665151650594151,-0.5224160480434519,-0.5309958252960547,239.4,2419.3,2658.7496630781184
UT,West,UT,2019,-0.09020786116709317,-0.5831637974129041,,,1.573670587880072,-0.44117037739622594,-0.5664559796115692,-0.5546957461774799,-0.5589003834254841,235.6,2169.3,2404.8661897629354
VA,South,VA,2000,-0.5479036724460328,1.1649324835700987,1.2548625499955568,0.33088711362087886,0.06011420562423618,0.12556821306819219,-0.1998021302066924,0.04257912479415689,0.008824594147307822,281.74,2746.41,3028.14926577114
VA,South,VA,2001,-0.6394428347018207,1.1654789344237986,1.2470999668879692,0.41785775030485384,0.02068287702839276,0.14155212811758547,-0.17032777717947228,0.10524900109141551,0.06713626861374217,291.32,2886.95,3178.261744243735
VA,South,VA,2002,-0.22751660455077505,1.0986297799879583,1.1228986371665697,0.6490455187052935,0.1283607358862729,0.1570368522365227,-0.16094688369590923,0.1065740568684051,0.06959332576299818,291.44,2848.86,3140.2986367940293
VA,South,VA,2003,-1.0055994837249727,1.1090123462082384,1.3208445064100507,0.48611318668974546,-0.02784798893572222,0.17061613340191611,-0.1870180734719945,0.06805655103331416,0.032642329947671654,275.85,2704.06,2979.910185437152
VA,South,VA,2004,-0.7309819969576087,0.7867884928104125,1.1345425118279504,0.38593182038288837,0.07982986992215789,0.184519427677843,-0.18012296879795606,0.07110370096090395,0.03624105001476379,276.0,2678.0,2953.698619443703
VA,South,VA,2005,-0.8225211592133965,0.9875181064025019,0.9249527679230872,0.6600544600576954,-0.7421616723450396,0.1971247669956301,-0.15668553145100994,0.06764037828025245,0.03652232928437559,283.0,2638.0,2920.978161114719
VA,South,VA,2006,-0.7767515780855025,0.8445301330179367,0.5717552365278552,0.40684880895245185,-0.7087967019947106,0.2081621404298329,-0.15171395383196076,0.018665934075128125,-0.005131821377254105,282.2,2478.2,2760.397776546132
VA,South,VA,2007,-0.4563645101902449,0.6294106469451078,0.5348829667668148,0.6732651896805777,-0.5510713876113369,0.21829040390801305,-0.17450035125260283,0.022507160749939106,-0.004995318202295437,269.7,2466.4,2736.0543333837736
VA,South,VA,2008,-0.8682907403412905,0.8037284692750805,0.14481316561054267,-0.033508845143623574,-0.5404552606816867,0.2304859705476187,-0.19699082143401578,0.05355747500423311,0.018710733182193125,257.0,2523.3,2780.323430771694
VA,South,VA,2009,-1.2344473893644423,-0.496095961390202,0.14481316561054267,-0.2525867780564211,-0.6390335821712952,0.24324248671417778,-0.26088151238358237,0.028457952759235322,-0.011923888446409613,226.8,2428.8,2655.6246106926787
VA,South,VA,2010,-1.0513690648528666,-0.24818942409543626,0.3020054735391897,-0.3087323789536708,-0.5404552606816867,0.2639305921090943,-0.281448455510006,0.009084393564983173,-0.03155139042152708,214.2,2335.5,2549.703369399098
VA,South,VA,2011,-1.2344473893644423,-0.06767849209020933,0.024493127442936427,-0.42762894555961123,-0.19770601981012462,0.2745628759814377,-0.3187648803767978,-0.016086882602956286,-0.05853351800502366,196.7,2249.6,2446.2601851344093
