State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
SC,South Carolina,2012,38.3,48.6,67.02,25.1,6.7,23396.0
SD,South Dakota,2012,36.7,50.1,85.39,26.3,3.2,25275.0
TN,Tennessee,2012,38.2,48.7,78.01,24.3,5.8,23692.0
TX,Texas,2012,33.9,49.7,75.01,26.7,5.1,25359.0
UT,Utah,2012,29.9,50.3,88.08,30.7,4.7,23213.0
VT,Vermont,2012,42.4,49.4,95.09,35.8,4.3,28818.0
VA,Virginia,2012,37.5,49.0,69.16,35.5,4.5,32517.0
WA,Washington,2012,37.5,49.9,78.34,31.7,5.6,29861.0
WV,West Virginia,2012,41.5,49.1,93.68,18.6,4.3,22410.0
WI,Wisconsin,2012,38.8,49.6,86.75,27.1,4.9,26994.0
WY,Wyoming,2012,36.9,50.8,90.87,24.7,3.8,27813.0
AL,Alabama,2013,38.3,48.4,68.9,23.5,5.6,23384.0
AK,Alaska,2013,33.1,52.6,66.35,28.0,6.0,32474.0
AZ,Arizona,2013,36.8,49.8,78.98,27.4,5.3,25164.0
AR,Arkansas,2013,37.8,49.4,77.91,20.6,4.7,21927.0
CA,California,2013,35.7,49.8,61.93,31.0,6.3,29513.0
CO,Colorado,2013,36.4,50.2,83.82,37.8,4.7,31421.0
CT,Connecticut,2013,40.5,48.7,77.27,37.2,6.2,37726.0
DE,Delaware,2013,39.1,48.4,68.87,29.8,5.5,29484.0
DC,District of Columbia,2013,33.8,47.4,40.85,55.1,7.1,45477.0
FL,Florida,2013,41.5,48.9,76.19,27.2,5.7,25834.0
GA,Georgia,2013,35.9,48.8,60.4,28.3,6.4,24923.0
HI,Hawaii,2013,38.1,50.6,25.57,31.2,3.7,29577.0
ID,Idaho,2013,35.7,50.3,91.53,26.2,4.5,22652.0
IL,Illinois,2013,37.2,49.1,72.68,32.1,6.3,29856.0
IN,Indiana,2013,37.3,49.1,84.15,23.8,5.0,24796.0
IA,Iowa,2013,38.0,49.5,91.38,26.4,3.3,27740.0
KS,Kansas,2013,36.0,49.8,85.56,31.1,3.9,27175.0
KY,Kentucky,2013,38.5,49.2,87.7,22.6,5.0,23668.0
LA,Louisiana,2013,36.0,48.8,62.85,22.5,4.8,24695.0
ME,Maine,2013,44.0,48.9,94.89,28.2,4.4,26630.0
MD,Maryland,2013,38.2,48.5,57.62,37.4,5.1,36177.0
MA,Massachusetts,2013,39.4,48.5,79.64,40.3,5.2,35879.0
MI,Michigan,2013,39.6,49.1,79.12,26.9,6.0,25918.0
MN,Minnesota,2013,37.7,49.6,84.79,33.5,3.8,31358.0
MS,Mississippi,2013,36.6,48.5,58.99,20.4,6.1,20156.0
MO,Missouri,2013,38.1,49.0,82.79,27.0,4.7,25384.0
MT,Montana,2013,39.6,49.9,89.12,29.0,4.1,26054.0
NE,Nebraska,2013,36.3,49.5,88.32,29.4,3.2,27093.0
NV,Nevada,2013,37.1,50.3,68.34,22.5,7.0,25918.0
NH,New Hampshire,2013,42.3,49.3,93.45,34.6,4.1,33269.0
NJ,New Jersey,2013,39.4,48.8,68.19,36.6,6.0,35728.0
NM,New Mexico,2013,36.9,49.6,75.27,26.4,5.4,23334.0
NY,New York,2013,38.2,48.5,64.6,34.1,5.5,32514.0
NC,North Carolina,2013,37.9,48.7,69.17,28.4,6.0,25377.0
ND,North Dakota,2013,35.5,51.0,88.95,27.1,1.8,30855.0
OH,Ohio,2013,39.3,48.9,82.46,26.1,5.1,26354.0
OK,Oklahoma,2013,36.2,49.5,73.12,23.8,3.8,24284.0
OR,Oregon,2013,39.1,49.5,85.76,30.7,5.7,27048.0
PA,Pennsylvania,2013,40.6,48.9,81.63,28.7,5.2,28647.0
RI,Rhode Island,2013,39.9,48.8,80.47,32.4,6.0,30748.0
SC,South Carolina,2013,38.6,48.6,67.23,26.1,5.7,23687.0
SD,South Dakota,2013,36.6,50.2,85.11,26.6,2.8,25860.0
TN,Tennessee,2013,38.5,48.9,77.9,24.8,5.3,24678.0
TX,Texas,2013,34.0,49.7,75.02,27.5,4.5,26327.0
UT,Utah,2013,30.2,50.3,87.37,31.3,3.7,24250.0
VT,Vermont,2013,42.5,49.3,94.98,35.7,3.8,29136.0
VA,Virginia,2013,37.6,49.2,69.33,36.1,4.3,33145.0
WA,Washington,2013,37.4,49.9,78.03,32.7,5.0,30672.0
WV,West Virginia,2013,41.7,49.4,93.71,18.9,4.6,23159.0
WI,Wisconsin,2013,39.0,49.7,86.6,27.7,4.3,27448.0
WY,Wyoming,2013,36.6,51.1,90.67,26.6,3.4,28889.0
AL,Alabama,2014,38.6,48.4,68.47,23.5,4.9,23606.0
AK,Alaska,2014,33.3,52.3,65.64,28.0,5.1,33062.0
AZ,Arizona,2014,36.9,49.7,78.34,27.6,4.7,25715.0
AR,Arkansas,2014,37.8,49.1,78.29,21.4,3.9,22883.0
CA,California,2014,36.0,49.6,61.37,31.7,5.3,30441.0
CO,Colorado,2014,36.3,50.3,84.4,38.3,3.7,32357.0
CT,Connecticut,2014,40.5,48.8,76.85,38.0,5.3,39373.0
DE,Delaware,2014,39.6,48.5,69.21,30.6,4.2,30488.0
DC,District of Columbia,2014,33.8,47.4,40.23,55.0,6.1,45877.0
FL,Florida,2014,41.6,48.9,75.97,27.3,4.7,26582.0
GA,Georgia,2014,36.1,48.7,59.86,29.1,5.1,25615.0
HI,Hawaii,2014,38.1,50.5,25.41,31.0,3.3,29736.0
ID,Idaho,2014,35.9,50.0,91.66,25.0,3.4,23938.0
IL,Illinois,2014,37.5,49.1,72.13,32.8,5.3,30417.0
IN,Indiana,2014,37.4,49.2,84.09,24.7,4.5,25140.0
IA,Iowa,2014,38.2,49.7,91.33,27.7,3.0,28361.0
KS,Kansas,2014,36.2,49.8,84.92,31.5,3.4,27870.0
KY,Kentucky,2014,38.5,49.3,87.42,22.2,4.5,23684.0
LA,Louisiana,2014,36.1,48.9,62.78,22.9,4.4,24800.0
ME,Maine,2014,44.1,48.7,94.75,29.4,3.7,27978.0
MD,Maryland,2014,38.3,48.5,57.44,38.2,4.8,36338.0
MA,Massachusetts,2014,39.4,48.5,79.27,41.2,4.5,37288.0
MI,Michigan,2014,39.6,49.1,78.88,27.4,5.0,26613.0
MN,Minnesota,2014,37.8,49.7,84.42,34.3,3.3,32638.0
MS,Mississippi,2014,36.7,48.7,58.82,21.1,5.6,21036.0
MO,Missouri,2014,38.5,49.0,82.3,27.5,4.2,26126.0
MT,Montana,2014,39.6,50.2,89.35,29.3,3.1,25989.0
NE,Nebraska,2014,36.2,49.8,88.28,29.5,2.9,27446.0
NV,Nevada,2014,37.4,50.3,68.02,23.1,5.6,25773.0
NH,New Hampshire,2014,42.5,49.4,93.41,35.0,3.5,34691.0
NJ,New Jersey,2014,39.4,48.8,67.73,37.4,5.0,36593.0
NM,New Mexico,2014,37.2,49.5,73.14,26.4,5.1,23683.0
NY,New York,2014,38.2,48.5,63.98,34.5,4.6,33095.0
NC,North Carolina,2014,38.3,48.7,69.08,28.7,5.1,25774.0
ND,North Dakota,2014,35.1,50.9,88.49,27.4,2.1,33071.0
OH,Ohio,2014,39.4,49.0,82.13,26.6,4.5,26937.0
OK,Oklahoma,2014,36.2,49.5,72.91,24.2,3.4,25229.0
OR,Oregon,2014,39.3,49.5,84.59,30.8,4.8,27646.0
PA,Pennsylvania,2014,40.7,48.9,81.4,29.0,4.4,29220.0
RI,Rhode Island,2014,39.8,48.5,81.34,30.4,5.0,30830.0
SC,South Carolina,2014,38.8,48.7,67.34,26.3,4.9,24596.0
SD,South Dakota,2014,36.6,50.1,84.95,27.8,2.7,26959.0
TN,Tennessee,2014,38.6,48.7,77.63,25.3,4.7,24922.0
TX,Texas,2014,34.3,49.7,75.18,27.8,3.9,27125.0
UT,Utah,2014,30.5,50.3,87.26,31.1,3.3,24877.0
VT,Vermont,2014,42.8,49.2,94.46,34.9,3.6,29178.0
VA,Virginia,2014,37.7,49.2,68.93,36.7,3.9,34052.0
WA,Washington,2014,37.5,50.0,77.67,33.1,4.1,31841.0
WV,West Virginia,2014,41.9,49.4,93.58,19.2,3.7,22714.0
WI,Wisconsin,2014,39.2,49.6,86.26,28.4,3.5,28213.0
WY,Wyoming,2014,36.6,50.9,91.02,26.6,2.9,29698.0
AL,Alabama,2015,38.7,48.4,68.53,24.2,4.1,24769.0
AK,Alaska,2015,33.3,52.6,65.18,29.7,5.3,34352.0
AZ,Arizona,2015,37.4,49.6,77.42,27.7,4.0,26721.0
AR,Arkansas,2015,37.9,49.1,77.5,21.8,3.3,23589.0
CA,California,2015,36.2,49.7,60.86,32.3,4.6,31587.0
CO,Colorado,2015,36.4,50.2,84.44,39.2,3.5,33563.0
CT,Connecticut,2015,40.6,48.8,76.53,38.3,4.6,39430.0
DE,Delaware,2015,39.7,48.4,69.23,30.9,3.6,31441.0
DC,District of Columbia,2015,33.8,47.6,40.04,56.7,5.0,50187.0
FL,Florida,2015,41.8,48.8,75.76,28.4,4.1,27697.0
GA,Georgia,2015,36.4,48.7,59.5,29.9,4.4,26810.0
HI,Hawaii,2015,37.7,50.6,26.0,31.4,3.0,31052.0
ID,Idaho,2015,35.8,50.0,91.51,26.0,3.3,24273.0
IL,Illinois,2015,37.7,49.1,71.84,32.9,4.5,31867.0
IN,Indiana,2015,37.5,49.1,83.99,24.9,3.7,26396.0
IA,Iowa,2015,38.1,49.6,90.49,26.8,2.8,28628.0
KS,Kansas,2015,36.2,49.8,84.69,31.7,3.0,28852.0
KY,Kentucky,2015,38.8,49.1,87.36,23.3,3.8,25082.0
LA,Louisiana,2015,36.4,48.9,62.4,23.2,4.2,25456.0
ME,Maine,2015,44.6,49.0,94.64,30.1,3.3,28437.0
MD,Maryland,2015,38.3,48.5,56.52,38.8,3.7,37522.0
MA,Massachusetts,2015,39.4,48.5,79.08,41.5,3.9,38130.0
MI,Michigan,2015,39.7,49.2,78.62,27.8,4.4,27865.0
MN,Minnesota,2015,37.9,49.7,84.06,34.7,2.9,33425.0
MS,Mississippi,2015,37.0,48.4,58.77,20.8,5.0,21291.0
MO,Missouri,2015,38.4,49.0,82.37,27.8,3.3,27384.0
MT,Montana,2015,39.9,50.2,88.94,30.6,2.8,27735.0
NE,Nebraska,2015,36.1,49.7,88.18,30.2,2.2,29000.0
NV,Nevada,2015,37.8,50.1,67.54,23.6,5.0,27220.0
NH,New Hampshire,2015,42.8,49.4,93.59,35.7,2.9,35925.0
NJ,New Jersey,2015,39.6,48.8,67.65,37.6,4.3,37245.0
NM,New Mexico,2015,37.4,49.6,73.41,26.5,4.3,24388.0
NY,New York,2015,38.3,48.6,63.76,35.0,4.1,34297.0
NC,North Carolina,2015,38.4,48.8,69.05,29.4,4.2,26801.0
ND,North Dakota,2015,34.9,51.3,88.24,29.1,1.8,34063.0
OH,Ohio,2015,39.3,48.9,81.97,26.8,4.0,28001.0
OK,Oklahoma,2015,36.3,49.6,72.57,24.6,3.3,25762.0
OR,Oregon,2015,39.1,49.4,85.23,32.2,4.2,29117.0
PA,Pennsylvania,2015,40.7,48.9,81.13,29.7,3.9,30384.0
RI,Rhode Island,2015,39.7,48.4,80.36,32.7,4.0,31888.0
SC,South Carolina,2015,39.0,48.7,67.24,26.8,4.3,25627.0
SD,South Dakota,2015,36.9,50.3,84.56,27.5,2.7,27624.0
TN,Tennessee,2015,38.7,48.7,77.71,25.7,3.8,26216.0
TX,Texas,2015,34.4,49.6,74.95,28.4,3.5,28210.0
UT,Utah,2015,30.6,50.3,87.16,31.8,2.7,25816.0
VT,Vermont,2015,43.1,49.3,94.73,36.9,2.5,31216.0
VA,Virginia,2015,37.8,49.2,68.21,37.0,3.5,34780.0
WA,Washington,2015,37.5,50.0,76.9,34.2,3.8,33486.0
WV,West Virginia,2015,42.2,49.3,93.42,19.6,3.9,23539.0
WI,Wisconsin,2015,39.4,49.7,86.04,28.4,2.8,29563.0
WY,Wyoming,2015,36.5,50.3,91.51,26.2,3.3,31383.0
AL,Alabama,2016,39.0,48.4,68.19,24.7,3.6,25810.0
AK,Alaska,2016,33.5,52.6,64.42,29.6,5.4,34187.0
AZ,Arizona,2016,37.5,49.7,75.82,28.9,3.8,27997.0
AR,Arkansas,2016,38.0,49.2,76.64,22.4,2.9,24264.0
CA,California,2016,36.4,49.7,59.67,32.9,4.1,33389.0
CO,Colorado,2016,36.7,50.4,84.02,39.9,3.2,34542.0
CT,Connecticut,2016,40.9,48.8,76.67,38.6,4.2,41087.0
DE,Delaware,2016,40.6,48.3,69.23,31.0,3.5,31712.0
DC,District of Columbia,2016,33.9,47.5,40.7,56.8,4.8,50567.0
FL,Florida,2016,42.1,48.9,75.56,28.6,3.5,28621.0
GA,Georgia,2016,36.5,48.7,58.73,30.5,3.7,28183.0
HI,Hawaii,2016,38.9,50.3,25.06,31.9,2.8,32634.0
ID,Idaho,2016,36.1,50.0,89.72,27.6,2.9,25678.0
IL,Illinois,2016,37.9,49.1,71.27,34.0,4.1,32849.0
IN,Indiana,2016,37.6,49.3,83.47,25.6,3.2,27464.0
IA,Iowa,2016,38.0,49.7,90.41,28.4,2.7,30047.0
KS,Kansas,2016,36.5,49.8,84.58,32.8,2.9,28950.0
KY,Kentucky,2016,38.7,49.1,87.14,23.4,3.5,26046.0
LA,Louisiana,2016,36.5,49.0,61.98,23.4,4.1,25664.0
ME,Maine,2016,44.5,48.9,94.42,30.1,2.8,29604.0
MD,Maryland,2016,38.5,48.5,56.47,39.3,3.6,38662.0
MA,Massachusetts,2016,39.5,48.5,78.54,42.7,3.5,39771.0
MI,Michigan,2016,39.7,49.2,78.5,28.3,3.8,29128.0
