State,Year,UV_Irradiance
NV,2007,3231
NV,2008,3258
NV,2009,3122
NV,2010,2952
NV,2011,3319
NV,2012,3546
NV,2013,3570
NV,2014,3741
NV,2015,3657
NV,2016,4084
NV,2017,3990
NV,2018,3918
NV,2019,3984
NV,2020,4419
NH,1995,2443
NH,1996,2442
NH,1997,2424
NH,1998,2317
NH,1999,2444
NH,2000,2430
NH,2001,2383
NH,2002,2412
NH,2003,2391
NH,2004,2457
NH,2005,1968
NH,2006,1912
NH,2007,2050
NH,2008,2014
NH,2009,1989
NH,2010,2007
NH,2011,2173
NH,2012,2348
NH,2013,2287
NH,2014,2347
NH,2015,2611
NH,2016,2756
NH,2017,2625
NH,2018,2686
NH,2019,2794
NH,2020,2921
NJ,1995,2704
NJ,1996,2719
NJ,1997,2711
NJ,1998,2590
NJ,1999,2701
NJ,2000,2697
NJ,2001,2647
NJ,2002,2712
NJ,2003,2660
NJ,2004,2721
NJ,2005,2206
NJ,2006,2218
NJ,2007,2299
NJ,2008,2303
NJ,2009,2158
NJ,2010,2292
NJ,2011,2463
NJ,2012,2483
NJ,2013,2591
NJ,2014,2500
NJ,2015,2849
NJ,2016,3048
NJ,2017,3423
NJ,2018,3044
NJ,2019,3226
NJ,2020,3264
NM,1995,3680
NM,1996,3760
NM,1997,3790
NM,1998,3674
NM,1999,3745
NM,2000,3771
NM,2001,3685
NM,2002,3763
NM,2003,3635
NM,2004,3691
NM,2005,3571
NM,2006,3570
NM,2007,3532
NM,2008,3678
NM,2009,3582
NM,2010,3485
NM,2011,3965
NM,2012,3965
NM,2013,3899
NM,2014,4030
NM,2015,4017
NM,2016,4441
NM,2017,4549
NM,2018,4394
NM,2019,4484
NM,2020,4797
NY,1995,2532
NY,1996,2543
NY,1997,2525
NY,1998,2431
NY,1999,2544
NY,2000,2525
NY,2001,2475
NY,2002,2520
NY,2003,2478
NY,2004,2554
NY,2005,2067
NY,2006,1996
NY,2007,2117
NY,2008,2105
NY,2009,2058
NY,2010,2079
NY,2011,2229
NY,2012,2343
NY,2013,2370
NY,2014,2418
NY,2015,2851
NY,2016,2916
NY,2017,2704
NY,2018,2603
NY,2019,2783
NY,2020,3002
NC,1995,3194
NC,1996,3234
NC,1997,3265
NC,1998,3130
NC,1999,3207
NC,2000,3204
NC,2001,3198
NC,2002,3271
NC,2003,3149
NC,2004,3212
NC,2005,2694
NC,2006,2735
NC,2007,2815
NC,2008,2839
NC,2009,2772
NC,2010,2829
NC,2011,3127
NC,2012,3085
NC,2013,3075
NC,2014,3234
NC,2015,3476
NC,2016,3832
NC,2017,3945
NC,2018,3874
NC,2019,3941
NC,2020,4025
ND,1995,2225
ND,1996,2283
ND,1997,2309
ND,1998,2212
ND,1999,2286
ND,2000,2307
ND,2001,2252
ND,2002,2241
ND,2003,2230
ND,2004,2307
ND,2005,2117
ND,2006,2160
ND,2007,2114
ND,2008,2114
ND,2009,2060
ND,2010,2028
ND,2011,2272
ND,2012,2630
ND,2013,2263
ND,2014,2341
ND,2015,2671
ND,2016,2769
ND,2017,2756
ND,2018,2610
ND,2019,2553
ND,2020,3041
OH,1995,2755
OH,1996,2774
OH,1997,2783
OH,1998,2701
OH,1999,2782
OH,2000,2782
OH,2001,2725
OH,2002,2780
OH,2003,2684
OH,2004,2781
OH,2005,2224
OH,2006,2216
OH,2007,2308
OH,2008,2289
OH,2009,2303
OH,2010,2351
