data_year,state_abbr,incident_id
2003,NH,32
2003,NJ,594
2003,NM,11
2003,NV,97
2003,NY,603
2003,OH,244
2003,OK,38
2003,OR,103
2003,PA,118
2003,RI,45
2003,SC,64
2003,SD,9
2003,TN,161
2003,TX,290
2003,UT,60
2003,VA,285
2003,VT,27
2003,WA,223
2003,WI,31
2003,WV,31
2003,WY,12
2004,AK,9
2004,AL,3
2004,AR,83
2004,AZ,225
2004,CA,1393
2004,CO,60
2004,CT,120
2004,DC,49
2004,DE,37
2004,FL,274
2004,GA,29
2004,IA,27
2004,ID,37
2004,IL,187
2004,IN,82
2004,KS,49
2004,KY,71
2004,LA,24
2004,MA,358
2004,MD,245
2004,ME,68
2004,MI,559
2004,MN,239
2004,MO,71
2004,MS,2
2004,MT,50
2004,NB,59
2004,NC,67
2004,ND,10
2004,NH,49
2004,NJ,769
2004,NM,22
2004,NV,81
2004,NY,386
2004,OH,354
2004,OK,51
2004,OR,155
2004,PA,99
2004,RI,29
2004,SC,102
2004,SD,7
2004,TN,136
2004,TX,297
2004,UT,60
2004,VA,310
2004,VT,28
2004,WA,175
2004,WI,38
2004,WV,45
2004,WY,4
2005,AK,4
2005,AR,135
2005,AZ,194
2005,CA,1380
2005,CO,125
2005,CT,103
2005,DC,49
2005,DE,49
2005,FL,231
2005,GA,17
2005,IA,31
2005,ID,28
2005,IL,168
2005,IN,54
2005,KS,73
2005,KY,46
2005,LA,17
2005,MA,374
2005,MD,195
2005,ME,57
2005,MI,607
2005,MN,206
2005,MO,78
2005,MT,65
2005,NB,71
2005,NC,89
2005,ND,12
2005,NH,33
2005,NJ,738
2005,NM,18
2005,NV,77
2005,NY,498
2005,OH,191
2005,OK,41
2005,OR,138
2005,PA,80
2005,RI,15
2005,SC,98
2005,SD,9
2005,TN,120
2005,TX,264
2005,UT,41
2005,VA,293
2005,VT,34
2005,WA,171
2005,WI,45
2005,WV,46
2005,WY,3
2006,AK,6
2006,AR,113
2006,AZ,169
2006,CA,1297
2006,CO,140
2006,CT,127
2006,DC,57
2006,DE,49
2006,FL,216
2006,GA,13
2006,GM,4
2006,IA,29
2006,ID,22
2006,IL,156
2006,IN,40
2006,KS,111
2006,KY,66
2006,LA,22
2006,MA,384
2006,MD,212
2006,ME,57
2006,MI,614
2006,MN,137
2006,MO,82
2006,MT,24
2006,NB,56
2006,NC,100
2006,ND,16
2006,NH,38
2006,NJ,760
2006,NM,20
2006,NV,125
2006,NY,522
2006,OH,305
2006,OK,51
2006,OR,144
2006,PA,86
2006,RI,19
2006,SC,82
2006,SD,88
2006,TN,206
2006,TX,243
2006,UT,37
2006,VA,341
2006,VT,27
2006,WA,177
2006,WI,85
2006,WV,35
2006,WY,5
2007,AK,8
2007,AL,7
2007,AR,33
2007,AZ,161
2007,CA,1400
2007,CO,158
2007,CT,144
2007,DC,41
2007,DE,49
2007,FL,166
2007,GA,13
2007,IA,28
2007,ID,38
2007,IL,167
2007,IN,41
2007,KS,111
2007,KY,48
2007,LA,31
2007,MA,353
2007,MD,151
2007,ME,72
2007,MI,635
2007,MN,157
2007,MO,114
2007,MT,21
2007,NB,45
2007,NC,75
2007,ND,14
2007,NH,48
2007,NJ,748
2007,NM,14
2007,NV,63
2007,NY,498
2007,OH,306
2007,OK,30
2007,OR,169
2007,PA,78
2007,RI,49
2007,SC,117
2007,SD,37
2007,TN,239
2007,TX,242
2007,UT,57
2007,VA,296
2007,VT,21
2007,WA,196
2007,WI,69
2007,WV,44
2007,WY,21
2008,AK,8
2008,AL,11
2008,AR,92
2008,AZ,185
2008,CA,1382
2008,CO,164
2008,CT,179
2008,DC,42
2008,DE,62
2008,FL,153
2008,GA,12
2008,IA,33
2008,ID,30
2008,IL,120
2008,IN,61
2008,KS,115
2008,KY,79
2008,LA,67
2008,MA,336
2008,MD,100
2008,ME,63
2008,MI,577
2008,MN,164
2008,MO,99
2008,MS,4
2008,MT,28
2008,NB,100
2008,NC,124
2008,ND,16
2008,NH,45
2008,NJ,744
2008,NM,9
2008,NV,94
2008,NY,605
2008,OH,355
2008,OK,54
2008,OR,191
2008,PA,70
2008,RI,35
2008,SC,154
2008,SD,44
2008,TN,270
2008,TX,247
2008,UT,40
2008,VA,267
2008,VT,22
2008,WA,240
2008,WI,95
2008,WV,46
2008,WY,6
2009,AK,9
2009,AL,9
2009,AR,75
2009,AZ,219
2009,CA,1018
2009,CO,208
2009,CT,200
2009,DC,37
2009,DE,37
2009,FL,130
2009,GA,11
2009,IA,17
2009,ID,35
2009,IL,129
2009,IN,55
2009,KS,122
2009,KY,153
2009,LA,13
2009,MA,317
2009,MD,102
2009,ME,50
2009,MI,315
2009,MN,153
2009,MO,125
2009,MS,2
2009,MT,28
2009,NB,78
2009,NC,103
2009,ND,14
2009,NH,25
2009,NJ,549
2009,NM,15
2009,NV,48
2009,NY,641
2009,OH,303
2009,OK,60
2009,OR,131
2009,PA,36
2009,RI,35
2009,SC,109
2009,SD,42
2009,TN,171
2009,TX,165
2009,UT,49
2009,VA,150
2009,VT,24
2009,WA,208
2009,WI,54
2009,WV,25
2009,WY,8
2010,AK,7
2010,AL,19
2010,AR,63
2010,AZ,236
2010,CA,1092
2010,CO,154
2010,CT,147
2010,DC,57
2010,DE,20
2010,FL,136
2010,GA,17
2010,IA,17
2010,ID,28
2010,IL,94
2010,IN,94
2010,KS,58
2010,KY,173
2010,LA,13
2010,MA,316
2010,MD,80
2010,ME,61
2010,MI,304
2010,MN,127
2010,MO,142
2010,MS,11
2010,MT,31
2010,NB,61
2010,NC,94
2010,ND,8
2010,NH,31
2010,NJ,543
2010,NM,24
2010,NV,68
2010,NY,699
2010,OH,247
2010,OK,49
2010,OR,134
2010,PA,57
2010,RI,20
2010,SC,109
2010,SD,51
2010,TN,147
2010,TX,174
2010,UT,63
2010,VA,175
2010,VT,17
2010,WA,232
2010,WI,93
2010,WV,33
2010,WY,2
2011,AK,8
2011,AL,83
2011,AR,36
2011,AZ,193
2011,CA,1040
2011,CO,186
2011,CT,142
2011,DC,83
2011,DE,16
2011,FL,123
2011,GA,17
2011,IA,15
2011,ID,37
2011,IL,69
2011,IN,101
2011,KS,69
2011,KY,157
2011,LA,5
2011,MA,368
2011,MD,49
2011,ME,55
2011,MI,378
2011,MN,148
2011,MO,121
2011,MS,1
2011,MT,23
2011,NB,36
2011,NC,112
2011,ND,27
2011,NH,22
2011,NJ,508
2011,NM,28
2011,NV,59
2011,NY,545
2011,OH,250
2011,OK,30
2011,OR,130
2011,PA,19
2011,RI,25
2011,SC,124
2011,SD,22
2011,TN,148
2011,TX,153
2011,UT,69
2011,VA,147
2011,VT,9
2011,WA,213
2011,WI,79
2011,WV,19
2011,WY,2
2012,AK,6
2012,AL,6
2012,AR,51
2012,AZ,176
2012,CA,910
2012,CO,189
2012,CT,149
2012,DC,72
2012,DE,10
2012,FL,144
2012,GA,21
2012,IA,8
2012,ID,35
2012,IL,85
2012,IN,37
2012,KS,84
2012,KY,204
2012,LA,4
2012,MA,290
2012,MD,35
2012,ME,52
2012,MI,634
2012,MN,72
2012,MO,104
2012,MS,18
2012,MT,36
2012,NB,9
2012,NC,119
2012,ND,41
2012,NH,30
2012,NJ,505
2012,NM,2
2012,NV,91
2012,NY,720
2012,OH,264
2012,OK,21
2012,OR,52
2012,PA,38
2012,RI,12
2012,SC,104
2012,SD,30
2012,TN,321
2012,TX,175
2012,UT,102
2012,VA,138
2012,VT,14
2012,WA,274
2012,WI,69
2012,WV,27
2012,WY,2
2013,AK,8
2013,AL,6
2013,AR,27
2013,AZ,201
2013,CA,842
2013,CO,129
2013,CT,144
2013,DC,72
2013,DE,13
2013,FL,119
2013,GA,57
2013,IA,10
